        Frequency / GHz                S2,1/abs,dB
                   4.933                      -3.8540813
                   4.942                      -3.8125316
                   4.951                      -3.7717294
                    4.96                       -3.731664
                   4.969                      -3.6923247
                   4.978                      -3.6537007
                   4.987                      -3.6157811
                   4.996                      -3.5785553
                   5.005                      -3.5420126
                   5.014                      -3.5061425
                   5.023                      -3.4709346
                   5.032                      -3.4363786
                   5.041                      -3.4024644
                    5.05                      -3.3691821
                   5.059                       -3.336522
                   5.068                      -3.3044745
                   5.077                      -3.2730302
                   5.086                      -3.2421799
                   5.095                      -3.2119147
                   5.104                      -3.1822256
                   5.113                      -3.1531042
                   5.122                      -3.1245419
                   5.131                      -3.0965305
                    5.14                      -3.0690621
                   5.149                      -3.0421286
                   5.158                      -3.0157225
                   5.167                      -2.9898362
                   5.176                      -2.9644624
                   5.185                      -2.9395939
                   5.194                      -2.9152238
                   5.203                      -2.8913452
                   5.212                      -2.8679514
                   5.221                       -2.845036
                    5.23                      -2.8225925
                   5.239                      -2.8006149
                   5.248                      -2.7790969
                   5.257                      -2.7580327
                   5.266                      -2.7374164
                   5.275                      -2.7172425
                   5.284                      -2.6975054
                   5.293                      -2.6781996
                   5.302                        -2.65932
                   5.311                      -2.6408613
                    5.32                      -2.6228184
                   5.329                      -2.6051865
                   5.338                      -2.5879607
                   5.347                      -2.5711363
                   5.356                      -2.5547086
                   5.365                      -2.5386731
                   5.374                      -2.5230253
                   5.383                      -2.5077609
                   5.392                      -2.4928757
                   5.401                      -2.4783655
                    5.41                      -2.4642261
                   5.419                      -2.4504535
                   5.428                      -2.4370439
                   5.437                      -2.4239933
                   5.446                      -2.4112979
                   5.455                      -2.3989541
                   5.464                      -2.3869582
                   5.473                      -2.3753066
                   5.482                      -2.3639958
                   5.491                      -2.3530222
                     5.5                      -2.3423826
                   5.509                      -2.3320735
                   5.518                      -2.3220917
                   5.527                       -2.312434
                   5.536                      -2.3030971
                   5.545                       -2.294078
                   5.554                      -2.2853736
                   5.563                      -2.2769808
                   5.572                      -2.2688967
                   5.581                      -2.2611183
                    5.59                      -2.2536428
                   5.599                      -2.2464673
                   5.608                       -2.239589
                   5.617                      -2.2330052
                   5.626                      -2.2267132
                   5.635                      -2.2207103
                   5.644                      -2.2149938
                   5.653                      -2.2095613
                   5.662                      -2.2044101
                   5.671                      -2.1995378
                    5.68                       -2.194942
                   5.689                      -2.1906201
                   5.698                      -2.1865698
                   5.707                      -2.1827887
                   5.716                      -2.1792747
                   5.725                      -2.1760254
                   5.734                      -2.1730386
                   5.743                      -2.1703121
                   5.752                      -2.1678438
                   5.761                      -2.1656316
                    5.77                      -2.1636735
                   5.779                      -2.1619675
                   5.788                      -2.1605115
                   5.797                      -2.1593038
                   5.806                      -2.1583424
                   5.815                      -2.1576255
                   5.824                      -2.1571515
                   5.833                      -2.1569184
                   5.842                      -2.1569248
                   5.851                       -2.157169
                    5.86                      -2.1576495
                   5.869                      -2.1583648
                   5.878                      -2.1593135
                   5.887                      -2.1604943
                   5.896                      -2.1619058
                   5.905                       -2.163547
                   5.914                      -2.1654166
                   5.923                      -2.1675137
                   5.932                      -2.1698373
                   5.941                      -2.1723866
                    5.95                      -2.1751608
                   5.959                      -2.1781593
                   5.968                      -2.1813816
                   5.977                      -2.1848274
                   5.986                      -2.1884963
                   5.995                      -2.1923884
                       6                       -2.194647
                   6.004                      -2.1965036
                   6.013                      -2.2008422
                   6.022                      -2.2054047
                   6.031                      -2.2101917
                    6.04                      -2.2152042
                   6.049                      -2.2204433
                   6.058                      -2.2259105
                   6.067                      -2.2316077
                   6.076                      -2.2375369
                   6.085                      -2.2437009
                   6.094                      -2.2501028
                   6.103                      -2.2567461
                   6.112                      -2.2636353
                   6.121                      -2.2707754
                    6.13                      -2.2781724
                   6.139                      -2.2858332
                   6.148                       -2.293766
                   6.157                      -2.3019805
                   6.166                       -2.310488
                   6.175                       -2.319302
                   6.184                      -2.3284386
                   6.193                       -2.337917
                   6.202                      -2.3477604
                   6.211                       -2.357997
                    6.22                      -2.3686613
                   6.229                      -2.3797958
                   6.238                      -2.3914538
                   6.247                      -2.4037028
                   6.256                       -2.416629
                   6.265                      -2.4303447
                   6.274                      -2.4449986
                   6.283                      -2.4607914
                   6.292                      -2.4779999
                   6.301                      -2.4970159
                    6.31                      -2.5184109
                   6.319                      -2.5430481
                   6.328                      -2.5722874
                   6.337                      -2.6083824
                   6.346                      -2.6553127
                   6.355                      -2.7206935
                   6.364                      -2.8207184
                   6.373                      -2.9951483
                   6.382                      -3.3636873
                   6.391                      -4.4055973
                     6.4                      -7.9786186
                   6.409                      -5.5383758
                   6.418                      -3.3557516
                   6.427                      -2.8565228
                   6.436                      -2.7047613
                   6.445                      -2.6511127
                   6.454                      -2.6333768
                   6.463                      -2.6312926
                   6.472                      -2.6369277
                   6.481                      -2.6467462
                    6.49                      -2.6590145
                   6.499                      -2.6728192
                   6.508                      -2.6876514
                   6.517                      -2.7032153
                   6.526                      -2.7193328
                   6.535                      -2.7358938
                   6.544                      -2.7528289
                   6.553                      -2.7700939
                   6.562                      -2.7876602
                   6.571                      -2.8055093
                    6.58                      -2.8236295
                   6.589                      -2.8420129
                   6.598                      -2.8606547
                   6.607                      -2.8795518
                   6.616                       -2.898702
                   6.625                       -2.918104
                   6.634                      -2.9377564
                   6.643                       -2.957658
                   6.652                      -2.9778076
                   6.661                      -2.9982032
                    6.67                      -3.0188428
                   6.679                      -3.0397238
                   6.688                      -3.0608428
                   6.697                      -3.0821959
                   6.706                      -3.1037784
                   6.715                      -3.1255851
                   6.724                      -3.1476096
                   6.733                       -3.169845
                   6.742                      -3.1922832
                   6.751                      -3.2149154
                    6.76                      -3.2377319
                   6.769                       -3.260722
                   6.778                      -3.2838739
                   6.787                      -3.3071749
                   6.796                      -3.3306115
                   6.805                       -3.354169
                   6.814                      -3.3778318
                   6.823                      -3.4015833
                   6.832                      -3.4254062
                   6.841                      -3.4492821
                    6.85                      -3.4731918
                   6.859                      -3.4971155
                   6.868                      -3.5210324
                   6.877                      -3.5449212
                   6.886                      -3.5687602
                   6.895                       -3.592527
                   6.904                      -3.6161989
                   6.913                      -3.6397531
                   6.922                      -3.6631664
                   6.931                      -3.6864159
                    6.94                      -3.7094787
                   6.949                       -3.732332
                   6.958                      -3.7549535
                   6.967                      -3.7773217
                   6.976                      -3.7994153
                   6.985                      -3.8212141
                   6.994                      -3.8426989
                   7.003                      -3.8638513
                   7.012                      -3.8846544
                   7.021                      -3.9050923
                    7.03                      -3.9251506
                   7.039                      -3.9448166
                   7.048                      -3.9640789
                   7.057                      -3.9829278
                   7.066                      -4.0013554
                   7.075                      -4.0193554
                   7.084                      -4.0369233
                   7.093                      -4.0540563
                   7.102                      -4.0707534
                   7.111                      -4.0870153
                    7.12                      -4.1028445
                   7.129                      -4.1182451
                   7.138                      -4.1332228
                   7.147                      -4.1477849
                   7.156                      -4.1619401
                   7.165                      -4.1756986
                   7.174                       -4.189072
                   7.183                       -4.202073
                   7.192                      -4.2147155
                   7.201                      -4.2270147
